seed=2
gen=0	fitness=-0.000023605256	chromosome=10001111111101111011110011000101	decoded=[1.247425, 4.747845]
gen=22	fitness=-0.999274347982	chromosome=10101000000101001010011111110110	decoded=[3.131304, 3.122148]
gen=23	fitness=-0.999274347982	chromosome=10101000000101001010011111110110	decoded=[3.131304, 3.122148]
gen=24	fitness=-0.999274347982	chromosome=10101000000101001010011111110110	decoded=[3.131304, 3.122148]
gen=25	fitness=-0.999396481309	chromosome=10101000001101001010011111110100	decoded=[3.141070, 3.121538]
gen=26	fitness=-0.999396481309	chromosome=10101000001101001010011111110100	decoded=[3.141070, 3.121538]
gen=27	fitness=-0.999396481309	chromosome=10101000001101001010011111110100	decoded=[3.141070, 3.121538]
gen=28	fitness=-0.999396481309	chromosome=10101000001101001010011111110100	decoded=[3.141070, 3.121538]
gen=29	fitness=-0.999518100075	chromosome=10101000001101001010011111111011	decoded=[3.141070, 3.123674]
gen=30	fitness=-0.999518100075	chromosome=10101000001101001010011111111011	decoded=[3.141070, 3.123674]
gen=31	fitness=-0.999518100075	chromosome=10101000001101001010011111111011	decoded=[3.141070, 3.123674]
gen=32	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=33	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=34	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=35	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=36	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=37	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=38	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=39	fitness=-0.999530209563	chromosome=10101000001100001010011111111100	decoded=[3.139849, 3.123980]
gen=40	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=41	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=42	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=43	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=44	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=45	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=46	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=47	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=48	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=49	fitness=-0.999540185651	chromosome=10101000001010001010011111111110	decoded=[3.137407, 3.124590]
gen=50	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=51	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=52	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=53	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=54	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=55	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=56	fitness=-0.999566037195	chromosome=10101000001101001010011111111110	decoded=[3.141070, 3.124590]
gen=57	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=58	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=59	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=60	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=61	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=62	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=63	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=64	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=65	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=66	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=67	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=68	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=69	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=70	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=71	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=72	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=73	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=74	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=75	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=76	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=77	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=78	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=79	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=80	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=81	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=82	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=83	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=84	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=85	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=86	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=87	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=88	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=89	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=90	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=91	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=92	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=93	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=94	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=95	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=96	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=97	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=98	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=99	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=100	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=101	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=102	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=103	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=104	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=105	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=106	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=107	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=108	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=109	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=110	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=111	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=112	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=113	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=114	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=115	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=116	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=117	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=118	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=119	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=120	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=121	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=122	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=123	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=124	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=125	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=126	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=127	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=128	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=129	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=130	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=131	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=132	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=133	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=134	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=135	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=136	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=137	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=138	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=139	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=140	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=141	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=142	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=143	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=144	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=145	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=146	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=147	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=148	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=149	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=150	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=151	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=152	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=153	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=154	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=155	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=156	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=157	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=158	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=159	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=160	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=161	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=162	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=163	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=164	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=165	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=166	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=167	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=168	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=169	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=170	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=171	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=172	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=173	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=174	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=175	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=176	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=177	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=178	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=179	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=180	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=181	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=182	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=183	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=184	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=185	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=186	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=187	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=188	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=189	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=190	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=191	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=192	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=193	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=194	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=195	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=196	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=197	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=198	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=199	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
gen=200	fitness=-0.999581856786	chromosome=10101000001101101010011111111111	decoded=[3.141680, 3.124895]
